id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Electric Sunset,Neon Echo,synthwave,happy,0.80,120,0.78,0.81,0.20
12,Rainy Window Seat,Paper Lanterns,lofi,relaxed,0.33,74,0.55,0.56,0.88
13,Iron Will,Voltline,rock,intense,0.94,158,0.44,0.68,0.08
14,Slow Morning,Slow Stereo,jazz,chill,0.39,88,0.68,0.57,0.84
15,Deep Focus,LoRoom,lofi,focused,0.44,82,0.57,0.61,0.75
16,Starlit Drift,Orbit Bloom,ambient,chill,0.25,58,0.62,0.38,0.94
17,Power Hour,Max Pulse,pop,intense,0.95,136,0.79,0.90,0.04
18,Neon Alley,Neon Echo,synthwave,moody,0.72,108,0.46,0.71,0.25
19,Golden Parade,Indigo Parade,indie pop,happy,0.74,122,0.83,0.80,0.38
20,City Lights Fade,LoRoom,lofi,moody,0.41,76,0.50,0.59,0.72
21,Concrete Bloom,Rhyme Theory,hip hop,confident,0.68,95,0.62,0.84,0.15
22,Pulse Republic,Aria Volt,edm,energetic,0.90,128,0.80,0.92,0.03
23,Winter Sonata,Camille Rousseau,classical,melancholy,0.30,70,0.35,0.20,0.95
24,Old Pine Road,The Willow Set,folk,nostalgic,0.45,100,0.58,0.55,0.90
25,Ashfall,Iron Verdict,metal,aggressive,0.97,168,0.30,0.55,0.04
26,Velvet Hours,Mara Soleil,r&b,romantic,0.50,92,0.66,0.74,0.30
27,Island Time,Sundial Roots,reggae,relaxed,0.55,98,0.75,0.78,0.40
28,Groove Machine,The Funk Cartel,funk,playful,0.78,112,0.82,0.90,0.12
29,Dust and Diesel,Clay Hollow,country,nostalgic,0.52,105,0.60,0.62,0.68
30,Blue Room Lament,Otis Grave,blues,somber,0.43,84,0.38,0.50,0.72
31,Circuit Breaker,Bassline Theory,drum and bass,intense,0.92,174,0.55,0.80,0.05
32,Concrete Pulse,Null Sector,techno,dark,0.85,130,0.40,0.83,0.06
33,Sunday Warmth,Ruby Fields,soul,uplifting,0.58,96,0.78,0.72,0.35
34,Break the Glass,Riot Standard,punk,angry,0.95,180,0.42,0.60,0.06
35,Mirrorball Nights,Discotheque 84,disco,happy,0.80,120,0.85,0.91,0.15
36,Cold Chain,Vince Marlo,trap,moody,0.62,140,0.45,0.82,0.08
37,Paper Boats,Ellie Wren,acoustic,peaceful,0.32,86,0.60,0.48,0.93
38,Rise of Tides,Cinematic Order,cinematic,triumphant,0.70,90,0.55,0.30,0.60
39,Higher Ground Choir,The Redemption Voices,gospel,hopeful,0.65,100,0.82,0.68,0.45
40,Cafe Horizonte,Luna Bossa,bossa nova,relaxed,0.40,96,0.70,0.66,0.80
41,Cotton Sky,Halo Drift,dream pop,dreamy,0.48,104,0.62,0.58,0.55
42,Redline Fever,Steel Mirage,hard rock,intense,0.90,148,0.50,0.64,0.09
43,Late Bus Home,Mellow Kanto,chillhop,chill,0.38,85,0.54,0.63,0.70
44,Deep End,Marlow House,house,energetic,0.82,124,0.68,0.88,0.10
45,Glacier Drift,Aurora Field,ambient,dreamy,0.22,56,0.58,0.35,0.96
46,If You Stay,Nora Vale,pop ballad,melancholy,0.36,72,0.42,0.45,0.62
47,Gatsby Shuffle,The Brass Rewind,electro swing,playful,0.76,118,0.80,0.86,0.30
48,Horizon Lines,Glass Meridian,post-rock,hopeful,0.60,116,0.52,0.42,0.45
49,Lagos Sunrise,Kofi Groove,afrobeat,happy,0.72,110,0.83,0.85,0.25
50,Nocturne in Blue,Sena Aoki,neoclassical,somber,0.28,66,0.40,0.25,0.94
